"viento","direccion","temperatura","humedad"
3.5,71,12.25,45
3.8,84,11.25,42
8.9,81,10.15,49
4.4,93,9.65,47
9.2,78,8.85,44
10.6,80,9.45,43
11.2,77,8.55,42
10,84,8.55,43
9.5,75,9.45,42
6.8,72,14.75,34
1.4,292,20.15,26
6.3,256,19.55,29
5.9,250,19.35,30
8.2,268,21.25,28
8.2,259,22.05,27
9.9,264,22.45,28
10.4,267,22.65,27
10.4,265,22.35,31
10.5,257,21.05,36
8.8,254,19.45,41
7.6,256,17.55,49
5.7,258,15.25,56
1.8,239,13.45,62
1.1,232,13.45,65
2.9,92,11.65,65
3.8,90,9.45,69
5,81,9.85,70
6.5,85,8.35,74
7,82,8.75,74
7.8,77,7.65,74
9.2,76,8.35,72
9.7,85,7.65,71
9.3,81,10.45,64
5.9,75,13.75,54
2.5,239,17.45,42
7,269,17.55,45
7.4,260,18.45,37
7,266,19.05,33
7,281,19.75,31
7.4,263,20.65,29
7.8,270,21.35,28
10.3,250,21.65,30
9.3,258,21.05,34
10.1,254,20.05,39
9.7,257,17.15,49
7,269,14.85,60
3.9,255,13.35,61
1.1,174,13.15,64
2.9,121,12.25,61
5.6,81,10.25,66
6.1,86,10.85,67
6.4,78,8.45,74
8,87,8.25,72
8,77,8.95,71
8,81,8.05,73
8.2,83,9.85,65
8.2,73,8.65,65
6.8,75,13.65,52
2.1,230,17.95,28
6,266,18.55,33
5.8,258,19.05,36
6.6,267,19.95,35
9,285,20.85,33
8.1,265,21.25,32
9.9,266,21.65,30
10.5,267,21.75,31
9.9,263,20.55,34
10.2,259,19.55,38
8.6,256,17.75,44
6.7,246,15.35,51
4.1,270,13.75,58
0.8,281,12.85,63
1.9,92,12.05,59
3,73,10.65,64
2.6,111,11.85,50
4.9,81,7.95,60
6.2,86,7.85,58
7.5,75,8.05,61
10,79,7.65,63
9.4,71,7.15,65
9.6,74,8.15,59
8,69,12.55,47
1.8,78,17.25,39
2.5,281,19.05,35
5.6,265,19.75,31
5.3,270,20.65,30
6.4,253,21.55,29
8.3,257,22.65,27
7.4,267,22.85,26
6.6,239,22.75,25
9.7,249,21.95,31
9.4,253,20.75,34
8.9,250,18.75,41
5,257,16.95,46
3.8,300,15.25,50
1.2,183,13.55,57
3.5,79,12.95,53
3.8,79,12.25,49
3.2,85,11.85,50
6.1,73,10.05,57
4.6,94,9.55,53
7.5,78,8.65,55
6.5,88,8.75,56
9.3,82,8.65,58
9.7,84,10.55,54
6.8,70,15.15,44
1.5,84,18.75,36
2.3,250,21.05,31
5.7,268,21.05,33
6.9,260,21.15,32
7,269,22.55,30
7.7,262,23.35,27
9.4,266,23.45,28
8.4,273,23.55,27
9.2,256,22.75,32
9.1,252,21.05,36
7.6,253,19.05,41
5.7,250,16.95,48
3.2,279,15.65,52
2.2,258,14.85,53
1.2,246,14.55,54
1.4,162,14.05,55
2.2,86,11.45,55
2.3,97,10.35,57
6,83,11.55,58
6.2,76,10.15,61
7.8,77,10.05,60
9.8,82,9.65,57
8.2,75,11.55,54
6.3,76,15.85,47
2,237,19.45,39
2.4,258,21.25,35
5,246,21.95,33
7.1,265,22.45,32
8.3,264,23.05,30
9.2,270,23.95,30
10.6,273,24.25,29
10.4,272,23.05,29
7.6,251,22.25,29
9,270,22.55,30
9.5,251,20.85,35
6.1,255,18.45,44
2.9,264,16.95,47
0.8,112,16.65,45
1.8,239,17.25,44
2.3,249,17.05,44
1.3,20,16.05,45
4.4,77,14.15,44
2.3,111,13.85,50
4.7,87,11.35,53
5.4,87,10.85,55
7.1,92,10.25,54
8.5,77,10.75,52
6.4,79,16.05,44
1.6,230,19.35,37
6.4,265,20.35,39
6.3,249,20.55,37
6.8,246,21.65,32
7.3,260,22.45,25
8,270,23.55,22
9.4,259,24.35,18
10.3,261,23.95,20
9.2,243,23.05,24
10.2,247,21.75,21
7.4,258,20.15,17
4.6,264,18.25,23
2.4,274,16.85,27
3.1,97,15.75,26
4.4,87,13.35,33
3.2,71,13.25,32
6.6,77,11.65,30
7.7,74,12.25,31
8.2,70,10.25,33
10.9,85,8.75,34
11.9,81,9.65,36
10.1,67,8.75,39
11.2,74,9.45,36
8.3,74,15.25,30
2.2,67,20.35,24
6.3,258,20.75,24
8.3,267,20.45,23
8,265,20.95,23
8.7,274,21.85,23
9.9,284,22.35,22
9.7,265,23.35,20
11,250,22.15,30
9.7,247,20.85,33
8,261,19.65,36
7.2,253,17.85,41
5.1,253,15.35,46
2.8,265,13.75,56
1.3,317,12.75,61
2.8,228,13.65,51
0.9,83,12.35,50
6,70,9.15,56
5.7,89,8.85,54
8.8,77,8.55,56
6.4,83,7.95,56
6.8,83,8.45,54
9,83,8.15,48
7.3,73,8.85,48
5.1,72,13.85,39
2.2,247,17.55,32
6.3,263,16.95,37
7.4,279,17.25,38
7.2,254,18.35,36
7.5,271,18.95,34
7.4,274,19.55,32
8.6,270,20.45,24
10.2,248,21.35,24
8.8,259,20.15,36
9.6,247,19.45,40
7,261,17.85,44
4.3,251,15.65,52
3,252,14.05,59
1.8,76,13.15,62
0.8,7,12.65,65
4.3,95,12.25,59
3,100,11.85,62
2,97,10.05,57
4.7,85,9.95,61
7.4,79,9.05,62
5.4,75,9.25,62
7.2,81,7.45,64
8.1,79,8.95,61
3.9,80,13.95,50
2.6,271,16.95,40
5.8,255,17.85,40
7.3,277,18.45,38
8.4,271,19.75,32
8.8,263,20.75,32
8.5,264,21.35,31
8.7,270,22.15,29
10.7,266,22.75,25
9.7,256,22.05,33
8.2,241,20.75,36
7.2,252,18.95,41
5.4,260,15.95,54
2.8,278,13.75,67
0.4,268,12.85,71
1.4,103,12.65,71
3.3,88,11.45,70
1.9,138,11.15,70
3.2,93,10.85,67
3.1,87,9.35,73
5.1,80,8.25,75
6.5,74,7.25,76
7,87,7.45,77
7.9,80,8.75,75
4,86,12.85,65
2.5,315,15.85,59
4.3,268,16.95,56
6,261,18.25,52
5.3,265,19.55,47
7,268,20.55,43
7.3,274,21.35,41
8.2,280,22.65,36
6.3,271,22.85,34
9.1,252,21.75,41
8.8,252,20.75,46
7.4,256,18.85,52
4.7,253,16.85,59
2.2,284,14.95,66
2.7,82,14.05,66
2.8,87,12.75,69
0.5,27,13.35,70
1.5,227,12.55,72
2.5,231,12.65,75
2.9,144,11.55,75
5.8,88,8.45,83
8.4,85,8.75,81
8.7,83,8.25,82
7.9,84,10.25,80
4.7,89,13.55,70
2.4,287,16.65,57
4.7,258,17.55,52
6.4,260,18.35,48
6.8,260,19.65,45
7.7,268,20.65,42
8.3,279,21.85,39
9.1,268,22.85,35
8.6,245,23.45,34
9.4,263,23.05,35
8.8,254,22.25,38
8.4,247,20.55,42
5.2,242,17.85,49
0.8,341,16.45,54
2.5,97,14.15,55
6.4,64,14.05,55
6,86,13.65,59
8,70,11.65,62
5,80,11.05,62
6.2,84,9.65,64
5.2,93,9.75,65
8.1,86,9.85,67
8.9,71,7.95,69
8.6,87,10.45,63
7,76,14.25,53
2.9,256,18.55,44
5.6,263,18.25,44
6.3,266,18.55,43
6.8,276,19.75,41
6.9,255,21.05,38
7.7,253,22.05,35
8.2,263,23.05,32
9.5,251,23.35,32
10.2,248,21.55,40
9.7,252,20.15,45
7.9,258,18.75,50
5,269,16.45,61
2.6,256,14.55,70
0.7,65,13.75,71
1.8,139,13.35,73
3.8,145,12.85,73
4.7,82,9.95,74
