"viento","direccion","temperatura","humedad"
0,192,17.15,17
3.4,21,17.25,19
8.6,29,16.15,23
7.7,23,15.55,25
10,24,15.85,27
9.8,27,14.55,31
10.3,19,14.15,35
9.1,10,12.75,37
9.5,27,12.95,39
9.4,24,14.05,38
8.6,27,16.45,31
5.6,31,20.25,23
5.4,357,22.85,20
3.3,340,24.05,21
4.4,336,25.75,18
6.6,220,25.55,17
9.5,221,24.25,19
10.4,218,24.25,21
11.2,221,23.25,23
9.4,216,22.05,23
6.6,213,21.15,23
4.9,212,20.85,21
3.8,218,20.65,19
3.6,235,19.15,22
0,167,17.75,26
0.7,43,17.55,29
6.1,10,17.05,25
10,8,15.25,32
9.5,18,15.15,30
8.4,21,15.55,27
10.4,18,15.05,27
9.4,17,14.55,22
8.4,17,12.15,27
8.7,14,13.25,26
9.5,9,14.15,26
8.8,359,19.95,21
9.5,360,22.05,22
7.5,6,23.75,16
4.9,316,25.35,11
10,208,23.55,17
9.8,222,23.55,16
9.2,215,23.15,18
8.4,209,22.95,17
8.9,217,23.05,14
7.9,226,21.35,15
6.2,227,20.05,16
5.1,209,18.95,16
2,236,17.35,17
0.9,84,16.85,15
4,14,16.45,16
6.4,2,15.65,16
10.4,28,15.25,27
10.2,28,14.85,28
11.9,15,13.25,32
12.2,13,12.05,37
12.3,18,12.75,34
11.1,18,12.25,35
10.4,27,12.05,35
8.6,6,15.35,29
9.3,360,20.05,18
9.1,8,22.65,16
7.1,6,24.25,13
6.2,334,25.95,11
10,224,24.95,15
10.2,217,23.25,17
8.4,205,23.25,16
8.3,216,22.35,16
7.8,218,21.85,15
6,209,21.25,13
5.5,214,20.95,13
5,221,19.65,18
2.7,240,17.75,22
1,5,17.05,23
2.8,25,17.05,25
7.4,13,15.55,23
9.7,10,14.45,26
9,360,13.25,26
9.5,4,13.65,26
10,9,12.35,20
11.7,10,12.85,25
11.9,10,11.75,22
10.8,13,11.15,19
10.1,14,13.25,17
4.5,3,19.55,11
5.1,7,22.85,7
2.6,344,24.15,7
2.4,258,25.95,6
7.2,221,26.05,7
7.6,225,25.45,9
8.4,220,24.45,10
7.6,214,23.75,9
7.9,220,22.85,9
7.4,218,21.85,7
6.2,222,20.85,12
4.2,228,19.65,17
2.2,238,17.85,19
1.3,335,16.45,23
3.1,18,16.55,22
6.7,6,13.85,31
8.5,13,13.95,19
10.3,8,12.25,14
11,11,12.15,14
11.3,12,12.65,14
9.9,17,13.95,13
11.5,11,11.85,14
10.9,12,12.05,14
7.5,19,14.45,13
6.6,14,18.25,12
3.8,6,21.65,7
2.2,357,23.45,6
2.6,225,25.25,5
8.5,229,23.85,13
7.9,221,23.25,10
7.8,226,23.15,8
8.1,231,22.45,12
8.2,216,22.25,13
7.1,214,21.15,16
6.6,213,20.25,16
5.7,205,19.15,17
2.7,226,17.25,17
1.2,314,15.95,20
1.9,6,16.75,20
8.1,11,14.15,27
8.6,13,14.75,22
8.8,14,13.85,18
10.1,9,11.75,14
8.8,16,13.85,10
10.9,13,11.15,11
9.8,14,11.65,14
11.1,12,10.65,16
10,12,12.45,18
7.4,10,17.75,14
5.7,357,21.15,10
3.3,343,23.05,10
4.1,347,25.15,8
7,235,24.05,12
9.3,216,23.35,12
7.6,228,22.45,11
7,228,22.45,12
7.4,229,21.85,14
7.9,225,20.85,16
6.6,223,19.65,19
5.3,227,18.45,21
3.2,227,16.65,22
1,233,15.35,26
3.9,13,15.05,25
8.7,16,12.75,33
8.7,7,12.45,37
10.8,13,11.65,36
10.1,11,11.55,32
10.6,7,11.25,29
13,12,11.05,32
12.2,9,11.05,28
12.6,13,11.45,27
9.7,13,12.35,25
9.9,9,18.85,8
