,0,1,2,3,4,5,6,7,8,9,10,11
105,13.8,13.2,16.3,15.1,18.4,16.7,17.1,17.1,17.3,16.5,16.3,15.9
106,13.2,16.3,15.1,18.4,16.7,17.1,17.1,17.3,16.5,16.3,15.9,13.3
107,16.3,15.1,18.4,16.7,17.1,17.1,17.3,16.5,16.3,15.9,13.3,12.9
108,15.1,18.4,16.7,17.1,17.1,17.3,16.5,16.3,15.9,13.3,12.9,9.1
109,18.4,16.7,17.1,17.1,17.3,16.5,16.3,15.9,13.3,12.9,9.1,9.1
110,16.7,17.1,17.1,17.3,16.5,16.3,15.9,13.3,12.9,9.1,9.1,7.2
111,17.1,17.1,17.3,16.5,16.3,15.9,13.3,12.9,9.1,9.1,7.2,8.1
112,17.1,17.3,16.5,16.3,15.9,13.3,12.9,9.1,9.1,7.2,8.1,10.3
113,17.3,16.5,16.3,15.9,13.3,12.9,9.1,9.1,7.2,8.1,10.3,9.6
114,16.5,16.3,15.9,13.3,12.9,9.1,9.1,7.2,8.1,10.3,9.6,8.6
115,16.3,15.9,13.3,12.9,9.1,9.1,7.2,8.1,10.3,9.6,8.6,6.9
116,15.9,13.3,12.9,9.1,9.1,7.2,8.1,10.3,9.6,8.6,6.9,5.4
117,13.3,12.9,9.1,9.1,7.2,8.1,10.3,9.6,8.6,6.9,5.4,7.4
118,12.9,9.1,9.1,7.2,8.1,10.3,9.6,8.6,6.9,5.4,7.4,11.4
119,9.1,9.1,7.2,8.1,10.3,9.6,8.6,6.9,5.4,7.4,11.4,9.4
120,9.1,7.2,8.1,10.3,9.6,8.6,6.9,5.4,7.4,11.4,9.4,8.0
121,7.2,8.1,10.3,9.6,8.6,6.9,5.4,7.4,11.4,9.4,8.0,12.9
122,8.1,10.3,9.6,8.6,6.9,5.4,7.4,11.4,9.4,8.0,12.9,14.8
123,10.3,9.6,8.6,6.9,5.4,7.4,11.4,9.4,8.0,12.9,14.8,15.2
124,9.6,8.6,6.9,5.4,7.4,11.4,9.4,8.0,12.9,14.8,15.2,13.4
125,8.6,6.9,5.4,7.4,11.4,9.4,8.0,12.9,14.8,15.2,13.4,17.2
126,6.9,5.4,7.4,11.4,9.4,8.0,12.9,14.8,15.2,13.4,17.2,16.1
127,5.4,7.4,11.4,9.4,8.0,12.9,14.8,15.2,13.4,17.2,16.1,15.8
128,7.4,11.4,9.4,8.0,12.9,14.8,15.2,13.4,17.2,16.1,15.8,12.8
129,11.4,9.4,8.0,12.9,14.8,15.2,13.4,17.2,16.1,15.8,12.8,10.0
130,9.4,8.0,12.9,14.8,15.2,13.4,17.2,16.1,15.8,12.8,10.0,6.6
131,8.0,12.9,14.8,15.2,13.4,17.2,16.1,15.8,12.8,10.0,6.6,8.7
132,12.9,14.8,15.2,13.4,17.2,16.1,15.8,12.8,10.0,6.6,8.7,10.7
133,14.8,15.2,13.4,17.2,16.1,15.8,12.8,10.0,6.6,8.7,10.7,4.4
134,15.2,13.4,17.2,16.1,15.8,12.8,10.0,6.6,8.7,10.7,4.4,3.5
135,13.4,17.2,16.1,15.8,12.8,10.0,6.6,8.7,10.7,4.4,3.5,2.9
136,17.2,16.1,15.8,12.8,10.0,6.6,8.7,10.7,4.4,3.5,2.9,3.7
137,16.1,15.8,12.8,10.0,6.6,8.7,10.7,4.4,3.5,2.9,3.7,3.4
138,15.8,12.8,10.0,6.6,8.7,10.7,4.4,3.5,2.9,3.7,3.4,1.1
139,12.8,10.0,6.6,8.7,10.7,4.4,3.5,2.9,3.7,3.4,1.1,0.3
140,10.0,6.6,8.7,10.7,4.4,3.5,2.9,3.7,3.4,1.1,0.3,0.0
141,6.6,8.7,10.7,4.4,3.5,2.9,3.7,3.4,1.1,0.3,0.0,0.0
142,8.7,10.7,4.4,3.5,2.9,3.7,3.4,1.1,0.3,0.0,0.0,0.0
143,10.7,4.4,3.5,2.9,3.7,3.4,1.1,0.3,0.0,0.0,0.0,0.0
144,4.4,3.5,2.9,3.7,3.4,1.1,0.3,0.0,0.0,0.0,0.0,1.0
145,3.5,2.9,3.7,3.4,1.1,0.3,0.0,0.0,0.0,0.0,1.0,1.3
146,2.9,3.7,3.4,1.1,0.3,0.0,0.0,0.0,0.0,1.0,1.3,1.5
147,3.7,3.4,1.1,0.3,0.0,0.0,0.0,0.0,1.0,1.3,1.5,2.4
148,3.4,1.1,0.3,0.0,0.0,0.0,0.0,1.0,1.3,1.5,2.4,1.3
149,1.1,0.3,0.0,0.0,0.0,0.0,1.0,1.3,1.5,2.4,1.3,4.2
150,0.3,0.0,0.0,0.0,0.0,1.0,1.3,1.5,2.4,1.3,4.2,10.5
151,0.0,0.0,0.0,0.0,1.0,1.3,1.5,2.4,1.3,4.2,10.5,8.0
152,0.0,0.0,0.0,1.0,1.3,1.5,2.4,1.3,4.2,10.5,8.0,7.0
153,0.0,0.0,1.0,1.3,1.5,2.4,1.3,4.2,10.5,8.0,7.0,7.2
154,0.0,1.0,1.3,1.5,2.4,1.3,4.2,10.5,8.0,7.0,7.2,6.1
155,1.0,1.3,1.5,2.4,1.3,4.2,10.5,8.0,7.0,7.2,6.1,4.3
156,1.3,1.5,2.4,1.3,4.2,10.5,8.0,7.0,7.2,6.1,4.3,6.5
157,1.5,2.4,1.3,4.2,10.5,8.0,7.0,7.2,6.1,4.3,6.5,4.8
158,2.4,1.3,4.2,10.5,8.0,7.0,7.2,6.1,4.3,6.5,4.8,3.7
159,1.3,4.2,10.5,8.0,7.0,7.2,6.1,4.3,6.5,4.8,3.7,3.3
160,4.2,10.5,8.0,7.0,7.2,6.1,4.3,6.5,4.8,3.7,3.3,3.1
161,10.5,8.0,7.0,7.2,6.1,4.3,6.5,4.8,3.7,3.3,3.1,1.4
162,8.0,7.0,7.2,6.1,4.3,6.5,4.8,3.7,3.3,3.1,1.4,0.4
163,7.0,7.2,6.1,4.3,6.5,4.8,3.7,3.3,3.1,1.4,0.4,0.1
164,7.2,6.1,4.3,6.5,4.8,3.7,3.3,3.1,1.4,0.4,0.1,0.0
165,6.1,4.3,6.5,4.8,3.7,3.3,3.1,1.4,0.4,0.1,0.0,0.0
166,4.3,6.5,4.8,3.7,3.3,3.1,1.4,0.4,0.1,0.0,0.0,0.0
167,6.5,4.8,3.7,3.3,3.1,1.4,0.4,0.1,0.0,0.0,0.0,0.8
168,4.8,3.7,3.3,3.1,1.4,0.4,0.1,0.0,0.0,0.0,0.8,0.2
169,3.7,3.3,3.1,1.4,0.4,0.1,0.0,0.0,0.0,0.8,0.2,0.7
170,3.3,3.1,1.4,0.4,0.1,0.0,0.0,0.0,0.8,0.2,0.7,0.3
