,leaking_rate,n_reservoir,regularization,sparsity,spectral_radius,scores
44,0.3,100,6.30957344480193,0.5,0.001,85.77471151518621
45,0.3,100,6.30957344480193,0.5,0.01,85.77713119257271
46,0.3,100,6.30957344480193,0.5,0.1,85.7364463871602
47,0.3,100,6.30957344480193,0.5,1.0,83.87989990415639
48,0.3,100,6.30957344480193,0.9,1e-05,85.77436640041952
49,0.3,100,6.30957344480193,0.9,0.0001,85.77434890639819
50,0.3,100,6.30957344480193,0.9,0.001,85.77416785111218
51,0.3,100,6.30957344480193,0.9,0.01,85.77174645571615
52,0.3,100,6.30957344480193,0.9,0.1,85.68853806204511
53,0.3,100,6.30957344480193,0.9,1.0,83.74622465776964
54,0.3,100,0.1584893192461111,0.2,1e-05,85.10840093682484
55,0.3,100,0.1584893192461111,0.2,0.0001,85.1086085262343
56,0.3,100,0.1584893192461111,0.2,0.001,85.11047601718772
57,0.3,100,0.1584893192461111,0.2,0.01,85.10829433588863
58,0.3,100,0.1584893192461111,0.2,0.1,83.99179961495511
59,0.3,100,0.1584893192461111,0.2,1.0,82.06184196833145
60,0.3,100,0.1584893192461111,0.5,1e-05,85.10840152863983
61,0.3,100,0.1584893192461111,0.5,0.0001,85.10861487545283
62,0.3,100,0.1584893192461111,0.5,0.001,85.11058265934452
63,0.3,100,0.1584893192461111,0.5,0.01,85.11365523540789
64,0.3,100,0.1584893192461111,0.5,0.1,84.16471604405871
65,0.3,100,0.1584893192461111,0.5,1.0,82.1127714949155
66,0.3,100,0.1584893192461111,0.9,1e-05,85.10838026235007
67,0.3,100,0.1584893192461111,0.9,0.0001,85.10840239932152
68,0.3,100,0.1584893192461111,0.9,0.001,85.10847671747267
69,0.3,100,0.1584893192461111,0.9,0.01,85.09459938249093
70,0.3,100,0.1584893192461111,0.9,0.1,84.12894058363378
71,0.3,100,0.1584893192461111,0.9,1.0,82.1540044133054
72,0.3,100,0.003981071705534969,0.2,1e-05,84.90358435902488
73,0.3,100,0.003981071705534969,0.2,0.0001,84.90489612322753
74,0.3,100,0.003981071705534969,0.2,0.001,84.91529124129075
75,0.3,100,0.003981071705534969,0.2,0.01,84.77220234577655
76,0.3,100,0.003981071705534969,0.2,0.1,82.88432969213207
77,0.3,100,0.003981071705534969,0.2,1.0,81.15839452319854
78,0.3,100,0.003981071705534969,0.5,1e-05,84.90340501904798
79,0.3,100,0.003981071705534969,0.5,0.0001,84.90310858965908
80,0.3,100,0.003981071705534969,0.5,0.001,84.8980124090345
81,0.3,100,0.003981071705534969,0.5,0.01,84.65707840416206
82,0.3,100,0.003981071705534969,0.5,0.1,82.72257116989363
83,0.3,100,0.003981071705534969,0.5,1.0,81.13655949726734
84,0.3,100,0.003981071705534969,0.9,1e-05,84.90333548225668
85,0.3,100,0.003981071705534969,0.9,0.0001,84.90241149539968
86,0.3,100,0.003981071705534969,0.9,0.001,84.89087308601655
87,0.3,100,0.003981071705534969,0.9,0.01,84.57731220032086
88,0.3,100,0.003981071705534969,0.9,0.1,82.36029404862128
89,0.3,100,0.003981071705534969,0.9,1.0,81.12403468223657
90,0.3,100,0.0001,0.2,1e-05,91.98659425693795
91,0.3,100,0.0001,0.2,0.0001,91.44573268972182
92,0.3,100,0.0001,0.2,0.001,87.53514241868453
93,0.3,100,0.0001,0.2,0.01,112.61526414464932
94,0.3,100,0.0001,0.2,0.1,113.84037021360564
95,0.3,100,0.0001,0.2,1.0,87.78961513216677
96,0.3,100,0.0001,0.5,1e-05,92.00668390659547
97,0.3,100,0.0001,0.5,0.0001,91.63830808472312
98,0.3,100,0.0001,0.5,0.001,88.61496434287945
99,0.3,100,0.0001,0.5,0.01,94.11824543921227
100,0.3,100,0.0001,0.5,0.1,116.1849424456023
101,0.3,100,0.0001,0.5,1.0,85.27201515402193
102,0.3,100,0.0001,0.9,1e-05,92.02006254966557
103,0.3,100,0.0001,0.9,0.0001,91.7683731470031
104,0.3,100,0.0001,0.9,0.001,89.54192060076564
105,0.3,100,0.0001,0.9,0.01,85.22005015560663
106,0.3,100,0.0001,0.9,0.1,83.37304652091147
107,0.3,100,0.0001,0.9,1.0,85.37505745920514
108,0.45,100,10000.0,0.2,1e-05,98.81970267355307
109,0.45,100,10000.0,0.2,0.0001,98.81970859601638
