"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
3.45827944638645,4.16423046740115,4.8739447034197,5.61143206947051,6.07828602682457,6.73542724556924,7.48961398906033,8.07013719249964,8.57362987763884,8.99570811709457,9.38663694091651,9.75829175159174
4.48221317497388,5.34091057180422,6.12330822522687,6.59907357453069,7.24861109404895,7.98674230325984,8.54675888369755,9.02750241602191,9.42589211049018,9.79299401086999,10.1411866917555,10.4489224629733
5.53142867540934,6.4724473198942,7.00201033051344,7.66865459441664,8.40673932006048,8.95766913406218,9.42433218330938,9.80589848906511,10.1547761948465,10.4841808172631,10.7731009689642,10.6685692350594
4.76106572193825,5.59305581492992,6.44610627086837,7.32358061681331,7.98722518260104,8.54878246931885,9.01215274324147,9.43262540255513,9.82533941735099,10.1706564285162,10.1166396674816,9.85504307470896
3.85119281016377,5.00897510301423,6.07498093423047,6.87997492613011,7.55605416881217,8.11598516518251,8.61979851563679,9.08552454894328,9.49545767672317,9.49904275040331,9.28907227952164,8.93048799067831
4.51145432298548,5.78810501510502,6.69486966361626,7.4322931955779,8.03297066629892,8.56531383640126,9.05164693126696,9.47674324535766,9.4916000427135,9.2900407115952,8.93772211711749,8.75758980260702
4.20011584221591,5.39997764769311,6.31520392736712,7.04733748719878,7.68507962778054,8.25956082717282,8.76024026878593,8.84095556908148,8.69741585243604,8.39661623172497,8.26250082432506,7.88793900920837
3.92649899199253,5.12616408041503,6.0281162280037,6.78995198986829,7.46304297555299,8.04560998201998,8.19613535140941,8.11313060245569,7.86544158171719,7.77831837738712,7.44559917880999,6.96312238072236
4.44834264055327,5.57457250945843,6.45075025625894,7.19677798438774,7.83078126400029,8.01969388326877,7.96638607049427,7.74224232132323,7.67412024906962,7.35693974293473,6.88730120008106,6.53684580458784
5.59422811438153,6.64194607614802,7.45368472520667,8.11578037463327,8.31477673245477,8.26172357862456,8.03211339521966,7.95511124423609,7.62703134216915,7.14535918900732,6.78231668238854,6.45132095466991
6.20301291767135,7.22096651114107,7.9807478391933,8.23732158793975,8.22154132224681,8.01725784546541,7.95790905562372,7.64226863137262,7.16935657683408,6.81240915434509,6.48554340662953,6.21569151409055
