"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
-0.993081702917026,-1.48596108062521,-1.68950859779425,-1.68932502104943,-1.84534960436677,-2.03113604868557,-2.11367093241692,-1.94795017437979,-1.63289772340019,-1.38064812539536,-1.2623319314852,-1.16916372068393
-1.2664480043976,-1.6541199280559,-1.73422697814045,-1.9324599116905,-2.14160996902043,-2.23679105004758,-2.07713411309665,-1.76392012279483,-1.51073277709791,-1.38964184512962,-1.29249389230846,-1.15903920538002
-1.25953414706462,-1.53783787391545,-1.82926934828156,-2.09246765375748,-2.22187259854901,-2.08482351965205,-1.78681077159874,-1.54384326670534,-1.42950248186384,-1.33663158029129,-1.20566546726014,-1.30223328492308
-1.15023400171093,-1.63930094995546,-1.99518302795044,-2.17816404512883,-2.07490572261802,-1.79910356105729,-1.57097289756997,-1.46651770364635,-1.38009035554592,-1.25312006803039,-1.35191850280747,-1.52049682328858
-1.36207303844639,-1.90671861708395,-2.1742455111067,-2.11709870442335,-1.86824036892973,-1.65603988473052,-1.56066077333036,-1.47883490927016,-1.3534612816033,-1.45180968598486,-1.61854062304654,-1.87489470408765
-1.41556658757112,-1.88905211274741,-1.93222356797894,-1.74394410758374,-1.5719577623015,-1.50468114165526,-1.44309652013372,-1.33256571797416,-1.44190474296291,-1.61680234296129,-1.87921277851528,-1.91593341368619
-1.34388000982532,-1.59735220696046,-1.51337384785,-1.40561967219486,-1.3819082070831,-1.35149982585376,-1.2640296900981,-1.39079768199336,-1.57905806359935,-1.85181104768301,-1.89658388761171,-1.86079205388145
-1.12457227572357,-1.24507580624464,-1.2362853383229,-1.2719102715435,-1.28057635646257,-1.22016333656536,-1.36621369165936,-1.56843735824367,-1.8513741966294,-1.90357368598819,-1.87315942285718,-1.90583787704882
-0.993762202990106,-1.17165225452725,-1.28991243173585,-1.34293748764885,-1.30786075661801,-1.46836676332909,-1.67831398892974,-1.96461169724358,-2.01726988221821,-1.9853617809657,-2.01523540989801,-2.26012873969257
-1.05243625644857,-1.34675900324495,-1.47267989500829,-1.47302857698482,-1.65067648773198,-1.86756299321429,-2.15468980229835,-2.20438485458646,-2.16713470179284,-2.19019370612878,-2.4274016723566,-2.78883235371833
-1.1682914369509,-1.47503751440137,-1.55265058383731,-1.76973100007275,-2.00743495049976,-2.30487246177114,-2.35848908166514,-2.32111238865626,-2.34143123090559,-2.57421117858001,-2.93014563181061,-3.20601146818654
